章节,本章梗概,题量,题号列表,核心考点
11,渣滓洞斗争展开；刘思扬、孙明霞入狱；龙光华抄《囚歌》；“老大哥”主心骨；看守诨号“猩猩”。,47,"q006,q015,q019,q033,q034,q044,q045,q055,q058,q078,q083,q084,q086,q089,q090,q091,q106,q120,q130,q137,q138,q139,q140,q141,q145,q148,q149,q153,q154,q157,q162,q164,q172,q173,q176,q177,q178,q186,q187,q188,q191,q192,q197,q211,q216,q217,q223","11·27,丁长发,中美合作所,余新江,刘思扬,华蓥山,叶挺,囚歌,大屠杀,孙明霞,歌乐山,沙坪书店,渣滓洞,白公馆,红岩精神,绝食,老大哥,越狱,重庆解放,龙光华"
12,龙光华取水被打；许云峰抬入牢房高唱《国际歌》；“监狱之花”诞生，许云峰取名赠毯。,60,"q006,q015,q019,q030,q031,q032,q033,q034,q040,q043,q044,q045,q055,q058,q064,q067,q070,q072,q078,q083,q084,q086,q089,q090,q091,q105,q106,q118,q120,q130,q137,q138,q139,q140,q141,q145,q148,q149,q153,q154,q157,q161,q162,q164,q173,q176,q177,q178,q186,q187,q188,q191,q192,q197,q199,q201,q212,q216,q217,q223","11·27,丁长发,中美合作所,任达哉,余新江,刘思扬,华子良,华蓥山,叶挺,囚歌,地窖,大屠杀,歌乐山,沙坪书店,渣滓洞,甫志高,白公馆,监狱之花,红岩精神,绝食,老大哥,许云峰,许建业,许晓轩,越狱,通道,重庆解放,龙光华"
13,龙光华被迫害致死，难友绝食抗议迫使特务开追悼会。,45,"q006,q015,q019,q033,q034,q044,q045,q055,q058,q078,q083,q084,q086,q089,q090,q091,q106,q120,q130,q137,q138,q139,q140,q141,q145,q148,q149,q153,q154,q157,q162,q164,q173,q176,q177,q178,q186,q187,q188,q191,q192,q197,q216,q217,q223","11·27,丁长发,中美合作所,余新江,刘思扬,华蓥山,叶挺,囚歌,大屠杀,歌乐山,沙坪书店,渣滓洞,白公馆,红岩精神,绝食,老大哥,越狱,重庆解放,龙光华"
14,江姐被捕（甫志高出卖）；双枪老太婆营救未及；华为报信。,66,"q006,q015,q019,q022,q023,q024,q025,q038,q039,q041,q042,q053,q058,q061,q062,q073,q077,q078,q081,q082,q083,q084,q086,q087,q088,q089,q090,q091,q119,q120,q130,q137,q138,q139,q140,q141,q143,q145,q146,q147,q148,q149,q150,q152,q153,q154,q157,q159,q160,q162,q164,q165,q167,q176,q177,q179,q181,q183,q184,q187,q188,q190,q197,q204,q223,q224","11·27,中美合作所,任达哉,刘思扬,华为,华子良,华蓥山,双枪老太婆,叶挺,囚歌,大屠杀,彭松涛,成岗,挺进报,朝天门,歌乐山,江姐,沙坪书店,渣滓洞,甫志高,白公馆,竹签,第一个叛徒,红岩精神,红梅赞,许云峰,许建业,郑克昌,重庆解放,陈松林,陈然"
15,江姐受“竹签钉指”酷刑坚贞不屈，留下“意志是钢铁”名言；孙明霞护理。,63,"q006,q015,q019,q022,q023,q024,q025,q058,q061,q062,q077,q078,q082,q083,q084,q086,q089,q090,q091,q119,q120,q121,q129,q130,q134,q137,q138,q139,q140,q141,q143,q145,q146,q147,q148,q149,q150,q152,q153,q154,q156,q157,q159,q160,q162,q164,q165,q172,q176,q177,q179,q181,q183,q187,q188,q197,q206,q208,q215,q222,q223,q224,q229","11·27,中美合作所,任达哉,刘思扬,华子良,华蓥山,叶挺,囚歌,大屠杀,孙明霞,彭松涛,成岗,朝天门,歌乐山,江姐,沙坪书店,渣滓洞,甫志高,白公馆,竹签,第一个叛徒,红岩精神,红梅赞,许云峰,许建业,重庆解放,陈然"
16,许云峰被转移（地牢），狱中斗争持续。,47,"q006,q015,q019,q030,q031,q032,q040,q043,q058,q064,q067,q070,q072,q078,q083,q084,q086,q089,q090,q091,q105,q118,q120,q130,q137,q138,q139,q140,q141,q145,q148,q149,q153,q154,q157,q161,q162,q164,q176,q177,q187,q188,q197,q199,q201,q212,q223","11·27,中美合作所,任达哉,华子良,华蓥山,叶挺,囚歌,地窖,大屠杀,歌乐山,沙坪书店,渣滓洞,甫志高,白公馆,监狱之花,红岩精神,许云峰,许建业,许晓轩,越狱,通道,重庆解放"
17,成瑶（陈静）以记者身份戳穿国民党假和谈；徐鹏飞应对学潮。,18,"q012,q056,q058,q069,q091,q137,q138,q139,q140,q141,q145,q148,q149,q153,q157,q176,q188,q223","中美合作所,徐鹏飞"
18,刘思扬被假意释放软禁后识破；齐晓轩由老大哥介绍登场。,24,"q033,q034,q046,q047,q058,q091,q137,q138,q139,q140,q141,q145,q148,q149,q153,q157,q168,q176,q182,q186,q188,q193,q209,q223","11·27,中美合作所,刘思扬,大屠杀,挺进报,杨钦典,渣滓洞,白公馆,胡浩,越狱,齐晓轩"
19,刘思扬、成岗转押白公馆；黄显声教“小萝卜头”识字、传消息。,28,"q027,q029,q033,q034,q054,q058,q063,q068,q075,q091,q093,q137,q138,q139,q140,q141,q145,q148,q149,q153,q157,q166,q171,q176,q186,q188,q218,q223","中美合作所,刘思扬,叶挺,囚歌,成岗,成瑶,挺进报,陈然"
20,华子良装疯亮相；“小萝卜头”白公馆生活放飞小飞虫；白公馆版《挺进报》。,55,"q011,q027,q029,q033,q034,q035,q036,q037,q046,q047,q048,q049,q050,q054,q058,q060,q063,q065,q066,q068,q074,q075,q076,q080,q091,q092,q093,q094,q095,q107,q137,q138,q139,q140,q141,q145,q148,q149,q153,q157,q166,q168,q171,q176,q182,q186,q188,q193,q194,q198,q209,q210,q218,q223,q227","11·27,中美合作所,刘思扬,华子良,双枪老太婆,叶挺,囚歌,大屠杀,小萝卜头,成岗,成瑶,挺进报,杨虎城,杨钦典,渣滓洞,白公馆,磁器口,胡浩,越狱,陈然,韩子栋,黄显声,齐晓轩"
21,江姐、余新江识破敌特伪装；郑克昌混入渣滓洞套情报被识破。,69,"q006,q012,q015,q019,q022,q023,q024,q025,q033,q034,q046,q047,q052,q055,q056,q058,q061,q062,q069,q077,q078,q082,q083,q084,q086,q089,q090,q091,q119,q120,q130,q137,q138,q139,q140,q141,q143,q145,q146,q147,q148,q149,q150,q152,q153,q154,q157,q159,q160,q162,q164,q165,q168,q176,q177,q179,q181,q182,q183,q186,q187,q188,q191,q193,q197,q209,q216,q223,q224","11·27,中美合作所,任达哉,余新江,刘思扬,华子良,华蓥山,叶挺,囚歌,大屠杀,彭松涛,徐鹏飞,成岗,挺进报,朝天门,杨钦典,歌乐山,江姐,沙坪书店,渣滓洞,甫志高,白公馆,竹签,第一个叛徒,红岩精神,红梅赞,老大哥,胡浩,许云峰,许建业,越狱,郑克昌,重庆解放,陈然,齐晓轩"
22,胡浩因《挺进报》受拷打，齐晓轩主动担责保护；“白宫版”《挺进报》泄露。,59,"q006,q011,q012,q015,q019,q027,q029,q033,q034,q046,q047,q052,q054,q056,q058,q063,q068,q069,q075,q078,q083,q084,q086,q089,q090,q091,q093,q094,q095,q107,q120,q130,q137,q138,q139,q140,q141,q145,q148,q149,q153,q154,q157,q162,q164,q166,q168,q171,q176,q177,q182,q186,q187,q188,q193,q197,q209,q218,q223","11·27,中美合作所,刘思扬,华蓥山,叶挺,囚歌,大屠杀,徐鹏飞,成岗,成瑶,挺进报,杨钦典,歌乐山,沙坪书店,渣滓洞,白公馆,红岩精神,胡浩,越狱,郑克昌,重庆解放,陈然,齐晓轩"
23,华子良换牢房被了解，装疯更稳；白公馆斗争。,41,"q027,q029,q033,q034,q035,q036,q037,q046,q047,q054,q058,q063,q065,q068,q075,q076,q080,q091,q092,q093,q137,q138,q139,q140,q141,q145,q148,q149,q153,q157,q166,q168,q171,q176,q182,q186,q188,q193,q209,q218,q223","11·27,中美合作所,刘思扬,华子良,双枪老太婆,叶挺,囚歌,大屠杀,成岗,成瑶,挺进报,杨钦典,渣滓洞,白公馆,磁器口,胡浩,越狱,陈然,韩子栋,齐晓轩"
24,华子良向齐晓轩吐露真身传递越狱情报；许云峰地窖挖暗道；双枪老太婆接受营救任务；磁器口联络。,63,"q027,q029,q030,q031,q032,q033,q034,q035,q036,q037,q038,q039,q040,q043,q046,q047,q051,q054,q058,q063,q064,q065,q067,q068,q070,q072,q075,q076,q080,q087,q091,q092,q093,q105,q118,q137,q138,q139,q140,q141,q145,q148,q149,q151,q153,q157,q161,q166,q168,q171,q176,q182,q184,q186,q188,q193,q199,q201,q204,q209,q212,q218,q223","11·27,中美合作所,任达哉,刘思扬,华为,华子良,华蓥山,双枪老太婆,叶挺,囚歌,地窖,大屠杀,徐鹏飞,成岗,成瑶,挺进报,李敬原,杨进兴,杨钦典,毛人凤,渣滓洞,甫志高,白公馆,监狱之花,磁器口,胡浩,许云峰,许建业,许晓轩,越狱,通道,陈松林,陈然,韩子栋,齐晓轩"
25,江姐绣红旗（闻新中国成立）；江姐就义（电台岚垭，“11·14”密裁）；“11·27”提前密裁背景。,81,"q002,q007,q013,q022,q023,q024,q025,q026,q058,q061,q062,q071,q077,q082,q091,q097,q098,q099,q100,q102,q104,q108,q110,q112,q113,q114,q_event_judge_fix,q117,q119,q121,q122,q123,q124,q125,q126,q127,q128,q129,q131,q132,q133,q134,q135,q136,q137,q138,q139,q140,q141,q143,q145,q146,q147,q148,q149,q150,q152,q153,q155,q156,q157,q159,q160,q163,q165,q174,q175,q176,q179,q181,q183,q188,q189,q206,q215,q222,q223,q224,q225,q226,q229","11·27,中美合作所,五星红旗,任达哉,刘思扬,华子良,华蓥山,大坪,大屠杀,彭松涛,成岗,新中国成立,朝天门,江姐,狱中八条,甫志高,电台岚垭,竹签,第一个叛徒,红岩精神,红梅赞,许云峰,许建业,越狱,重庆解放,陈然"
26,黄显声在梅园被杨进兴暗杀；老大哥建议讨论江姐遗书；渣滓洞突击检查。,65,"q006,q012,q013,q015,q019,q035,q036,q037,q056,q057,q058,q065,q069,q076,q078,q080,q083,q084,q086,q089,q090,q091,q092,q106,q113,q120,q122,q123,q124,q125,q126,q127,q128,q130,q131,q132,q133,q135,q136,q137,q138,q139,q140,q141,q145,q148,q149,q153,q154,q155,q157,q162,q163,q164,q172,q174,q176,q177,q178,q187,q188,q189,q197,q223,q226","11·27,中美合作所,华子良,华蓥山,双枪老太婆,叶挺,囚歌,大屠杀,孙明霞,徐鹏飞,杨进兴,歌乐山,沙坪书店,渣滓洞,狱中八条,白公馆,磁器口,红岩精神,老大哥,越狱,重庆解放,韩子栋"
27,李敬原筹划营救狱友；地下党营救部署。,39,"q012,q013,q051,q056,q058,q069,q091,q113,q122,q123,q124,q125,q126,q127,q128,q131,q132,q133,q135,q136,q137,q138,q139,q140,q141,q145,q148,q149,q151,q153,q155,q157,q163,q174,q176,q188,q189,q223,q226","中美合作所,徐鹏飞,成瑶,李敬原,杨进兴,毛人凤,狱中八条"
28,许云峰地窖从容就义；华子良逃脱接应解放军；杨钦典打开牢门；“11·27”大屠杀开始。,84,"q007,q012,q013,q030,q031,q032,q035,q036,q037,q040,q043,q046,q047,q056,q058,q059,q064,q065,q067,q069,q070,q072,q076,q080,q091,q092,q098,q099,q100,q105,q110,q113,q114,q118,q121,q122,q123,q124,q125,q126,q127,q128,q129,q131,q132,q133,q134,q135,q136,q137,q138,q139,q140,q141,q145,q148,q149,q153,q155,q156,q157,q161,q163,q168,q174,q176,q182,q188,q189,q193,q199,q201,q202,q206,q209,q212,q213,q215,q220,q222,q223,q225,q226,q229","11·27,中美合作所,任达哉,华子良,双枪老太婆,地窖,大屠杀,徐鹏飞,挺进报,杨钦典,渣滓洞,狱中八条,甫志高,白公馆,监狱之花,磁器口,红岩精神,胡浩,许云峰,许建业,许晓轩,越狱,通道,重庆解放,韩子栋,齐晓轩"
29,渣滓洞集体越狱，丁长发、余新江断后牺牲；解放前夜解放军炮声。,79,"q004,q006,q007,q013,q015,q019,q055,q058,q059,q078,q083,q084,q086,q089,q090,q091,q098,q099,q100,q103,q109,q110,q113,q114,q120,q121,q122,q123,q124,q125,q126,q127,q128,q129,q130,q131,q132,q133,q134,q135,q136,q137,q138,q139,q140,q141,q145,q148,q149,q153,q154,q155,q156,q157,q162,q163,q164,q174,q176,q177,q187,q188,q189,q191,q192,q197,q202,q206,q207,q213,q215,q216,q217,q220,q222,q223,q225,q226,q229","11·27,丁长发,中美合作所,余新江,华蓥山,叶挺,囚歌,大屠杀,杨钦典,歌乐山,沙坪书店,渣滓洞,狱中八条,白公馆,红岩精神,老大哥,越狱,重庆解放"
30,白公馆经许云峰暗道越狱，齐晓轩断后挺立岩石牺牲；徐鹏飞覆灭；1949.11.30 重庆解放。,66,"q004,q007,q012,q013,q046,q047,q056,q058,q059,q069,q091,q098,q099,q100,q103,q109,q110,q113,q114,q121,q122,q123,q124,q125,q126,q127,q128,q129,q131,q132,q133,q134,q135,q136,q137,q138,q139,q140,q141,q145,q148,q149,q153,q155,q156,q157,q163,q168,q174,q176,q182,q188,q189,q193,q202,q206,q207,q209,q213,q215,q220,q222,q223,q225,q226,q229","11·27,中美合作所,大屠杀,徐鹏飞,挺进报,杨钦典,渣滓洞,狱中八条,白公馆,红岩精神,胡浩,越狱,重庆解放,齐晓轩"
专题,全书综合/跨媒介/史实,1,q005,回书指引：电影《烈火中永生》据《红岩》改编，可作为跨媒介延伸阅读。（原书全书（跨媒介））
专题,全书综合/跨媒介/史实,1,q018,回书指引：电影《烈火中永生》据《红岩》改编，可作为跨媒介延伸阅读。（原书全书（跨媒介））
专题,全书综合/跨媒介/史实,1,q115,回书指引：陈然是成岗原型，负责印刷《挺进报》，狱中写下《我的“自白”书》，1949.10.28 在大坪就义；可对照第3、8—9章成岗情节与史实阅读。（原书第3、8—9章）
专题,全书综合/跨媒介/史实,1,q144,回书指引：电影《烈火中永生》据《红岩》改编，可作为跨媒介延伸阅读。（原书全书（跨媒介））
专题,全书综合/跨媒介/史实,1,q205,回书指引：杨虎城将军等于 1949.9.6 在戴公祠遇害，属史实背景，可结合尾声与史料阅读。（原书史实背景）
专题,全书综合/跨媒介/史实,1,q219,回书指引：杨虎城将军等于 1949.9.6 在戴公祠遇害，属史实背景，可结合尾声与史料阅读。（原书史实背景）
